EXPIRE_DATE,rows,first_quote,last_quote,file
2011-07-29,355,2011-07-21,2011-07-29,spx_eod_201107.txt
2011-08-05,48,2011-07-29,2011-07-29,spx_eod_201107.txt
2011-08-18,2940,2011-07-01,2011-07-29,spx_eod_201107.txt
2011-09-15,3057,2011-07-01,2011-07-29,spx_eod_201107.txt
2011-09-30,897,2011-07-01,2011-07-29,spx_eod_201107.txt
2011-10-20,1910,2011-07-01,2011-07-29,spx_eod_201107.txt
2011-11-17,396,2011-07-19,2011-07-29,spx_eod_201107.txt
2011-12-15,1648,2011-07-01,2011-07-29,spx_eod_201107.txt
2011-12-30,600,2011-07-01,2011-07-29,spx_eod_201107.txt
2012-03-15,820,2011-07-01,2011-07-29,spx_eod_201107.txt
2012-03-30,280,2011-07-01,2011-07-29,spx_eod_201107.txt
2012-06-14,1060,2011-07-01,2011-07-29,spx_eod_201107.txt
2012-06-29,560,2011-07-01,2011-07-29,spx_eod_201107.txt
2012-12-20,1080,2011-07-01,2011-07-29,spx_eod_201107.txt
2013-06-20,679,2011-07-01,2011-07-29,spx_eod_201107.txt
2013-12-19,1020,2011-07-01,2011-07-29,spx_eod_201107.txt
2011-08-05,340,2011-08-01,2011-08-05,spx_eod_201108.txt
2011-08-12,485,2011-08-04,2011-08-12,spx_eod_201108.txt
2011-08-18,2065,2011-08-01,2011-08-18,spx_eod_201108.txt
2011-08-26,351,2011-08-18,2011-08-26,spx_eod_201108.txt
2011-09-02,270,2011-08-25,2011-08-31,spx_eod_201108.txt
2011-09-15,3880,2011-08-01,2011-08-31,spx_eod_201108.txt
2011-09-30,1887,2011-08-01,2011-08-31,spx_eod_201108.txt
2011-10-20,2998,2011-08-01,2011-08-31,spx_eod_201108.txt
2011-11-17,1445,2011-08-01,2011-08-31,spx_eod_201108.txt
2011-12-15,1921,2011-08-01,2011-08-31,spx_eod_201108.txt
2011-12-30,782,2011-08-01,2011-08-31,spx_eod_201108.txt
2012-03-15,923,2011-08-01,2011-08-31,spx_eod_201108.txt
2012-03-30,308,2011-08-01,2011-08-31,spx_eod_201108.txt
2012-06-14,1166,2011-08-01,2011-08-31,spx_eod_201108.txt
2012-06-29,616,2011-08-01,2011-08-31,spx_eod_201108.txt
2012-12-20,1188,2011-08-01,2011-08-31,spx_eod_201108.txt
2013-06-20,771,2011-08-01,2011-08-31,spx_eod_201108.txt
2013-12-19,1122,2011-08-01,2011-08-31,spx_eod_201108.txt
2011-09-02,116,2011-09-01,2011-09-02,spx_eod_201109.txt
